Order ID,Order Date,Customer ID,Region,Category,Product,Quantity,Unit Price,Sales,Profit
ORD0001,2025-01-03,CUST1001,North,Electronics,Laptop,1,65000,65000,9100
ORD0002,2025-01-04,CUST1002,South,Fashion,Jeans,2,1800,3600,540
ORD0003,2025-01-05,CUST1003,East,Home,Mixer,3,4500,13500,1890
ORD0004,2025-01-06,CUST1004,West,Office,Printer,1,11000,11000,1540
ORD0005,2025-01-08,CUST1005,North,Electronics,Smartphone,2,28000,56000,8400
ORD0006,2025-01-10,CUST1006,South,Home,Lamp,4,1800,7200,1008
ORD0007,2025-01-12,CUST1007,East,Fashion,Sneakers,2,3200,6400,960
ORD0008,2025-01-15,CUST1008,West,Office,Chair,2,4200,8400,1176
ORD0009,2025-01-18,CUST1009,North,Home,Air Purifier,1,12000,12000,1680
ORD0010,2025-01-21,CUST1010,South,Electronics,Tablet,2,18000,36000,5040
ORD0011,2025-02-02,CUST1011,East,Office,Desk,1,8500,8500,1190
ORD0012,2025-02-05,CUST1012,West,Fashion,Jacket,3,2600,7800,1092
ORD0013,2025-02-08,CUST1013,North,Office,Notebook,10,120,1200,180
ORD0014,2025-02-11,CUST1014,South,Electronics,Headphones,5,3500,17500,2450
ORD0015,2025-02-14,CUST1015,East,Home,Vacuum Cleaner,1,9000,9000,1260
ORD0016,2025-02-17,CUST1016,West,Fashion,T-Shirt,6,900,5400,756
ORD0017,2025-02-20,CUST1017,North,Electronics,Laptop,1,67000,67000,10050
ORD0018,2025-02-24,CUST1018,South,Home,Mixer,2,4600,9200,1288
ORD0019,2025-03-01,CUST1019,East,Electronics,Smartphone,1,27500,27500,4125
ORD0020,2025-03-03,CUST1020,West,Office,Printer,2,10800,21600,3024
ORD0021,2025-03-06,CUST1021,North,Fashion,Jeans,3,1850,5550,832.5
ORD0022,2025-03-09,CUST1022,South,Home,Air Purifier,2,11800,23600,3304
ORD0023,2025-03-13,CUST1023,East,Office,Chair,1,4300,4300,602
ORD0024,2025-03-16,CUST1024,West,Electronics,Tablet,1,18200,18200,2548
ORD0025,2025-03-19,CUST1025,North,Fashion,Sneakers,2,3300,6600,990
ORD0026,2025-03-23,CUST1026,South,Office,Desk,1,8600,8600,1204
ORD0027,2025-03-27,CUST1027,East,Home,Lamp,5,1750,8750,1225
ORD0028,2025-04-01,CUST1028,West,Electronics,Headphones,4,3400,13600,1904
ORD0029,2025-04-04,CUST1029,North,Home,Vacuum Cleaner,2,9200,18400,2576
ORD0030,2025-04-07,CUST1030,South,Fashion,Jacket,2,2550,5100,714
ORD0031,2025-04-10,CUST1031,East,Office,Notebook,15,120,1800,270
ORD0032,2025-04-13,CUST1032,West,Electronics,Laptop,1,64500,64500,9675
ORD0033,2025-04-16,CUST1033,North,Home,Mixer,3,4550,13650,1911
ORD0034,2025-04-19,CUST1034,South,Fashion,T-Shirt,8,950,7600,1064
ORD0035,2025-04-22,CUST1035,East,Electronics,Smartphone,2,28500,57000,8550
ORD0036,2025-04-25,CUST1036,West,Office,Chair,3,4150,12450,1743
ORD0037,2025-05-01,CUST1037,North,Electronics,Tablet,2,17900,35800,5012
ORD0038,2025-05-04,CUST1038,South,Home,Air Purifier,1,12100,12100,1694
ORD0039,2025-05-07,CUST1039,East,Fashion,Jeans,4,1780,7120,1068
ORD0040,2025-05-11,CUST1040,West,Office,Printer,1,11200,11200,1568
